index: 17, label: North Carolina, prediction: NorthCarolina
index: 18, label: North Carolina, prediction: NorthCarolina
index: 19, label: North Carolina, prediction: NorthCarolina
index: 20, label: North Carolina, prediction: NorthCarolina
index: 21, label: North Carolina, prediction: NorthCarolina
index: 25, label: @, prediction: @nt
index: 69, label: @, prediction: Mississippi
index: 70, label: @, prediction: Mississippi
index: 71, label: @, prediction: Missisippi
index: 72, label: @, prediction: Mississippi
index: 110, label: Mississippi, prediction: Missisippi
index: 121, label: Nebraska, prediction: Nerskda
index: 122, label: New York, prediction: NewYork
index: 124, label: New Jersey, prediction: NewYiri
index: 131, label: Massachusetts, prediction: Marsachustts
index: 132, label: Massachusetts, prediction: Massachusestps
index: 134, label: Germany, prediction: Germana
index: 136, label: New York, prediction: NewYork
index: 144, label: Vermont, prediction: Vermany
index: 150, label: Maine, prediction: Mrine
index: 156, label: New York, prediction: NewYork
index: 157, label: New Hampshire, prediction: NewHampshire
index: 172, label: New Hampshire, prediction: NewHampshire
index: 176, label: New Hampshire, prediction: NewHampshire
index: 177, label: New Hampshire, prediction: NewHampshire
index: 220, label: New York, prediction: NewYork
index: 222, label: Missouri, prediction: Missouppi
index: 232, label: Kansas, prediction: Kansce
index: 234, label: New Hampshire, prediction: NewHampshire
index: 239, label: France, prediction: Russgia
index: 241, label: New Hampshire, prediction: NewHampsre
index: 242, label: Czechoslovakia, prediction: Cancdland
index: 245, label: Rhode Island, prediction: RhodeIsland
index: 247, label: New York, prediction: NewYork
index: 248, label: District Of Columbia, prediction: Dostieland
index: 251, label: West Virginia, prediction: WestVirginia
index: 252, label: District Of Columbia, prediction: DasitODa
index: 253, label: Rhode Island, prediction: RhodeIsland
index: 254, label: New Jersey, prediction: NewJersey
index: 255, label: New Jersey, prediction: NewJrey
index: 263, label: Michigan, prediction: Micin
index: 264, label: Michigan, prediction: Mocnd
index: 268, label: South Carolina, prediction: SouthCarolina
index: 269, label: South Carolina, prediction: SouthCarolina
index: 270, label: Georgia, prediction: Gowa
